population,totalPop,propOfTotalPop,CDF,diabetes_status_c,age65_c,ethnicity_c,gender_c,Educ_c,IPR_c,HHincome3_c,healthInsStatus_c,typeOfIns1_c,typeOfIns2_c,typeOfIns3_c,typeOfIns4_c,typeOfIns5_c,typeOfIns6_c,typeOfIns7_c,typeOfIns8_c,typeOfIns9_c,typeOfIns10_c,typeOfIns11_c,RxPlan_c,noInsLast12mos_c
18756.523,303963264,6.17E-05,6.17E-05,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Female,Educ: Less Than High School,1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
18401.02443,303963264,0.000060537,1.22E-04,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: Less Than High School,0.25<=INDFMPIR<0.5,"HHincome<=($45,000 to $54,999)",Not Covered by health insurance,,,,,,,,,,,,,
17986.98447,303963264,5.92E-05,1.81E-04,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: High School (9th-12th grade; no diploma),0.75<=INDFMPIR<1,"HHincome<=($45,000 to $54,999)",Not Covered by health insurance,,,,,,,,,,,,,
13952.54726,303963264,4.59E-05,2.27E-04,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: Less Than High School,0.5<=INDFMPIR<0.75,"HHincome<=($45,000 to $54,999)",Not Covered by health insurance,,,,,,,,,,,,,
13671.27243,303963264,4.50E-05,2.72E-04,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Male,Educ: High School Grad/GED or Equivalent,1.5<=INDFMPIR<2,"HHincome<=($45,000 to $54,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,
13524.38341,303963264,4.45E-05,3.17E-04,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Male,Educ: High School Grad/GED or Equivalent,3<=INDFMPIR<4,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,
12770.67573,303963264,4.20E-05,3.59E-04,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: High School (9th-12th grade; no diploma),1.5<=INDFMPIR<2,"HHincome<=($45,000 to $54,999)",Not Covered by health insurance,,,,,,,,,,,,,
11777.36983,303963264,0.000038746,3.98E-04,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: High School (9th-12th grade; no diploma),INDFMPIR<0.25,,Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,Time when no ins in past year
10973.26148,303963264,3.61E-05,4.34E-04,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Male,Educ: High School (9th-12th grade; no diploma),0.75<=INDFMPIR<1,"HHincome<=($45,000 to $54,999)",Not Covered by health insurance,,,,,,,,,,,,,
10724.17153,303963264,3.53E-05,4.69E-04,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: Less Than High School,INDFMPIR<0.25,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
10694.39801,303963264,3.52E-05,5.04E-04,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: Less Than High School,0.75<=INDFMPIR<1,"HHincome<=($45,000 to $54,999)",Not Covered by health insurance,,,,,,,,,,,,,
10393.54256,303963264,3.42E-05,5.38E-04,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Male,Educ: Some College or AA degree,0.75<=INDFMPIR<1,"HHincome<=($45,000 to $54,999)",Not Covered by health insurance,,,,,,,,,,,,,
10353.45943,303963264,3.41E-05,5.72E-04,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Male,Educ: Less Than High School,1.5<=INDFMPIR<2,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
10353.45943,303963264,3.41E-05,6.07E-04,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Male,Educ: High School Grad/GED or Equivalent,INDFMPIR<0.25,,Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,
9938.203545,303963264,3.27E-05,6.39E-04,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: High School Grad/GED or Equivalent,4<=INDFMPIR,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,Time when no ins in past year
9584.556947,303963264,0.000031532,6.71E-04,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Male,Educ: Less Than High School,1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
9508.235615,303963264,3.13E-05,7.02E-04,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Male,Educ: High School Grad/GED or Equivalent,2<=INDFMPIR<3,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
9383.830959,303963264,3.09E-05,7.33E-04,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Male,,3<=INDFMPIR<4,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,,,,,,,,Covered by state-sponsored health plan,,,,Plans cover Rxs,
9381.312641,303963264,3.09E-05,7.64E-04,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Male,Educ: Some College or AA degree,2<=INDFMPIR<3,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,
8653.271099,303963264,2.85E-05,7.92E-04,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: Less Than High School,0.75<=INDFMPIR<1,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,,Covered by other government insurance,,,Plans do not cover Rxs,
8623.773379,303963264,2.84E-05,8.21E-04,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: Less Than High School,1.5<=INDFMPIR<2,"HHincome<=($45,000 to $54,999)",Not Covered by health insurance,,,,,,,,,,,,,
8318.239786,303963264,2.74E-05,8.48E-04,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: Some College or AA degree,2<=INDFMPIR<3,"HHincome<=($45,000 to $54,999)",Not Covered by health insurance,,,,,,,,,,,,,
8203.230286,303963264,2.70E-05,8.75E-04,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Male,Educ: High School (9th-12th grade; no diploma),1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Not Covered by health insurance,,,,,,,,,,,,,
8159.838581,303963264,2.68E-05,9.02E-04,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: Some College or AA degree,0.5<=INDFMPIR<0.75,"HHincome<=($45,000 to $54,999)",Not Covered by health insurance,,,,,,,,,,,,,
8115.889764,303963264,2.67E-05,9.29E-04,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: Some College or AA degree,1.5<=INDFMPIR<2,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,Covered by state-sponsored health plan,,,,Plans cover Rxs,
8050.910196,303963264,2.65E-05,9.55E-04,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: High School (9th-12th grade; no diploma),1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Not Covered by health insurance,,,,,,,,,,,,,
8029.153346,303963264,2.64E-05,9.82E-04,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Female,Educ: Less Than High School,INDFMPIR<0.25,,Not Covered by health insurance,,,,,,,,,,,,,
7823.618206,303963264,2.57E-05,1.01E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: Some College or AA degree,4<=INDFMPIR,"($100,000 and Over)<=HHincome",Covered by health insurance,Covered by pvt ins,,,,,,,,,Covered by single service plan,,Plans cover Rxs,
7797.09915,303963264,2.57E-05,1.03E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: Some College or AA degree,0.75<=INDFMPIR<1,"HHincome<=($45,000 to $54,999)",Not Covered by health insurance,,,,,,,,,,,,,
7749.201695,303963264,2.55E-05,1.06E-03,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Male,Educ: Less Than High School,0.5<=INDFMPIR<0.75,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,Covered by Medicare,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
7738.403492,303963264,2.55E-05,1.08E-03,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Female,Educ: High School (9th-12th grade; no diploma),0.5<=INDFMPIR<0.75,,Covered by health insurance,,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
7698.820699,303963264,2.53E-05,1.11E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: High School Grad/GED or Equivalent,0.75<=INDFMPIR<1,"HHincome<=($45,000 to $54,999)",Not Covered by health insurance,,,,,,,,,,,,,
7467.070112,303963264,2.46E-05,1.13E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Male,Educ: Less Than High School,INDFMPIR<0.25,,Not Covered by health insurance,,,,,,,,,,,,,
7369.384231,303963264,2.42E-05,1.16E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Male,Educ: High School Grad/GED or Equivalent,1.5<=INDFMPIR<2,"HHincome<=($45,000 to $54,999)",Not Covered by health insurance,,,,,,,,,,,,,
7366.347633,303963264,2.42E-05,1.18E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: High School Grad/GED or Equivalent,0.25<=INDFMPIR<0.5,"HHincome<=($45,000 to $54,999)",Not Covered by health insurance,,,,,,,,,,,,,
7272.729583,303963264,2.39E-05,1.21E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: Less Than High School,1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
6983.239512,303963264,0.000022974,1.23E-03,"Diagnosed, Controlled Diabetes",0<=age<20yo,Mexican American,Male,,0.75<=INDFMPIR<1,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,,Covered by other government insurance,,,Plans cover Rxs,
6919.371673,303963264,2.28E-05,1.25E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Male,Educ: Some College or AA degree,3<=INDFMPIR<4,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,Covered by pvt ins,Covered by Medicare,,,,Covered by military health plan (Tricare/VA/Champ-VA),,,,,,Plans cover Rxs,
6560.289003,303963264,2.16E-05,1.27E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: Some College or AA degree,4<=INDFMPIR,"($100,000 and Over)<=HHincome",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,
6490.578976,303963264,2.14E-05,1.29E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: Some College or AA degree,2<=INDFMPIR<3,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,,,,,,,,,Covered by other government insurance,,,Plans cover Rxs,
6248.339422,303963264,2.06E-05,1.32E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Male,Educ: Less Than High School,INDFMPIR<0.25,,Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
6199.41878,303963264,2.04E-05,1.34E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: High School Grad/GED or Equivalent,INDFMPIR<0.25,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
6193.724042,303963264,2.04E-05,1.36E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: Some College or AA degree,INDFMPIR<0.25,,Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans do not cover Rxs,
6019.95794,303963264,1.98E-05,1.38E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: High School (9th-12th grade; no diploma),3<=INDFMPIR<4,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,,Covered by Medicare,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
5872.536478,303963264,1.93E-05,1.40E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: High School Grad/GED or Equivalent,3<=INDFMPIR<4,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,Time when no ins in past year
5803.157732,303963264,1.91E-05,1.41E-03,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Male,,4<=INDFMPIR,"($100,000 and Over)<=HHincome",Covered by health insurance,Covered by pvt ins,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
5697.868717,303963264,1.87E-05,1.43E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: Some College or AA degree,0.75<=INDFMPIR<1,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
5650.881885,303963264,1.86E-05,1.45E-03,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Female,Educ: Less Than High School,0.5<=INDFMPIR<0.75,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
5389.162516,303963264,1.77E-05,1.47E-03,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Female,Educ: Less Than High School,3<=INDFMPIR<4,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Not Covered by health insurance,,,,,,,,,,,,Plans cover Rxs,
5335.898281,303963264,1.76E-05,1.49E-03,"Diagnosed, Controlled Diabetes",0<=age<20yo,Mexican American,Female,Educ: Less Than High School,0.25<=INDFMPIR<0.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
5229.015718,303963264,1.72E-05,1.50E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Male,Educ: Less Than High School,0.75<=INDFMPIR<1,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
5211.733769,303963264,1.71E-05,1.52E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: Less Than High School,0.75<=INDFMPIR<1,,Not Covered by health insurance,,,,,,,,,,,,,
5202.712439,303963264,1.71E-05,1.54E-03,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Female,Educ: Less Than High School,0.75<=INDFMPIR<1,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,Covered by Medicare,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
5168.767382,303963264,1.70E-05,1.56E-03,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Male,Educ: Less Than High School,0.5<=INDFMPIR<0.75,"HHincome<=($45,000 to $54,999)",Covered by health insurance,Covered by pvt ins,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
5133.518381,303963264,1.69E-05,1.57E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: Less Than High School,1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,,Covered by other government insurance,,,Plans do not cover Rxs,
5046.388588,303963264,0.000016602,1.59E-03,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Female,Educ: Less Than High School,1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,,Covered by other government insurance,,,Plans cover Rxs,
5025.762936,303963264,1.65E-05,1.61E-03,"Diagnosed, Controlled Diabetes",0<=age<20yo,Mexican American,Male,Educ: Less Than High School,0.5<=INDFMPIR<0.75,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,Covered by Medicaid,,,,Covered by state-sponsored health plan,,,,Plans cover Rxs,
